"Estacao";"Data";"Hora";"Precipitacao";"TempMaxima";"TempMinima";"Insolacao";"Evaporacao.Piche";"Temp.Comp.Media";"Umidade.Relativa.Media";"Velocidade.do.Vento.Media";"X";"estacao";"lat";"long";"alt"
82989;"08/03/1977";1200;0;NA;20,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"09/03/1977";0;NA;29,6;NA;8;NA;24,02;66,25;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"09/03/1977";1200;0;NA;18,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"10/03/1977";0;NA;32,3;NA;6,6;NA;24,44;74,25;6;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"10/03/1977";1200;0;NA;19,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"11/03/1977";0;NA;29,3;NA;5,2;NA;23,5;74;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"11/03/1977";1200;7;NA;20,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"12/03/1977";0;NA;30,5;NA;5,9;NA;24,94;66,25;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"12/03/1977";1200;2,6;NA;21,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"13/03/1977";0;NA;31,5;NA;10;NA;24,26;67,75;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"13/03/1977";1200;0;NA;19,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"14/03/1977";0;NA;29,2;NA;2,9;NA;24,24;71,75;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"14/03/1977";1200;0;NA;20,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"15/03/1977";0;NA;31,1;NA;8,3;NA;24,06;68,5;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"15/03/1977";1200;0;NA;18,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"16/03/1977";0;NA;31,3;NA;9,1;NA;24,68;69;5;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"16/03/1977";1200;0;NA;19,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"17/03/1977";0;NA;32,9;NA;9,4;NA;25,98;68;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"17/03/1977";1200;0;NA;20,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"18/03/1977";0;NA;33,3;NA;8,7;NA;25,78;69;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"18/03/1977";1200;0;NA;21,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"19/03/1977";0;NA;31,9;NA;8,4;NA;24,54;71,75;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"19/03/1977";1200;1,6;NA;20,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"20/03/1977";0;NA;32,5;NA;9,8;NA;25,62;66,75;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"20/03/1977";1200;0,5;NA;21,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"21/03/1977";0;NA;32,1;NA;8,9;NA;25,26;66,75;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"21/03/1977";1200;0;NA;20,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"22/03/1977";0;NA;31,8;NA;9,5;NA;25,08;67;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"22/03/1977";1200;0;NA;20,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
